date,equity,deployed_usd
2020-08-27,1000.0,0.0
2020-08-28,1000.0,0.0
2020-08-29,1000.0,0.0
2020-08-30,1000.0,0.0
2020-08-31,1000.0,0.0
2020-09-01,1000.0,0.0
2020-09-02,1000.0,0.0
2020-09-03,1000.0,0.0
2020-09-04,1000.0,0.0
2020-09-05,1000.0,0.0
2020-09-06,1000.0,0.0
2020-09-07,1000.0,0.0
2020-09-08,1000.0,0.0
2020-09-09,1000.0,0.0
2020-09-10,1000.0,0.0
2020-09-11,1000.0,0.0
2020-09-12,1000.0,0.0
2020-09-13,1000.0,0.0
2020-09-14,1000.0,0.0
2020-09-15,1000.0,0.0
2020-09-16,1000.0,0.0
2020-09-17,1000.0,0.0
2020-09-18,1000.0,0.0
2020-09-19,1000.0,0.0
2020-09-20,1000.0,0.0
2020-09-21,1000.0,0.0
2020-09-22,999.27,56.93
2020-09-23,1003.16,53.04
2020-09-24,998.48,57.71
2020-09-25,998.0,58.2
2020-09-26,997.66,58.53
2020-09-27,997.07,59.12
2020-09-28,997.66,58.54
2020-09-29,996.69,59.5
2020-09-30,996.69,59.51
2020-10-01,997.84,58.35
2020-10-02,999.04,57.15
2020-10-03,998.98,57.21
2020-10-04,997.92,58.27
2020-10-05,997.71,58.48
2020-10-06,999.84,56.35
2020-10-07,999.71,56.49
2020-10-08,998.16,58.04
2020-10-09,995.83,60.37
2020-10-10,994.92,61.28
2020-10-11,995.23,237.43
2020-10-12,995.58,178.01
2020-10-13,992.37,273.96
2020-10-14,991.72,273.32
2020-10-15,992.8,274.4
2020-10-16,986.82,268.42
2020-10-17,988.18,269.77
2020-10-18,992.89,274.49
2020-10-19,997.03,278.63
2020-10-20,996.72,278.31
2020-10-21,1015.76,297.36
2020-10-22,1024.71,306.3
2020-10-23,1022.76,304.36
2020-10-24,1026.45,308.04
2020-10-25,1023.56,305.16
2020-10-26,1020.5,302.1
2020-10-27,1032.32,313.92
2020-10-28,1022.71,304.31
2020-10-29,1025.35,306.95
2020-10-30,1025.77,307.37
2020-10-31,1030.36,311.95
2020-11-01,1032.52,314.11
2020-11-02,1025.74,307.34
2020-11-03,1034.31,315.91
2020-11-04,1039.91,321.51
2020-11-05,1065.88,347.48
2020-11-06,1075.77,357.37
2020-11-07,1058.71,340.31
